Year,town,flat_type,resale_price
2017-01-01,ANG MO KIO,4 ROOM,400000.0
2017-01-01,ANG MO KIO,4 ROOM,400000.0
2017-01-01,ANG MO KIO,4 ROOM,403000.0
2017-01-01,ANG MO KIO,4 ROOM,410000.0
2017-01-01,ANG MO KIO,4 ROOM,425888.0
2017-01-01,ANG MO KIO,4 ROOM,430000.0
2017-01-01,ANG MO KIO,4 ROOM,435000.0
2017-01-01,ANG MO KIO,4 ROOM,435000.0
2017-01-01,ANG MO KIO,4 ROOM,440000.0
2017-01-01,ANG MO KIO,4 ROOM,460000.0
2017-01-01,ANG MO KIO,4 ROOM,518000.0
2017-01-01,ANG MO KIO,4 ROOM,518000.0
2017-01-01,ANG MO KIO,4 ROOM,560000.0
2017-01-01,ANG MO KIO,4 ROOM,688000.0
2017-01-01,ANG MO KIO,4 ROOM,730000.0
2017-01-01,ANG MO KIO,4 ROOM,756000.0
2017-02-01,ANG MO KIO,4 ROOM,400000.0
2017-02-01,ANG MO KIO,4 ROOM,415000.0
2017-02-01,ANG MO KIO,4 ROOM,423000.0
2017-02-01,ANG MO KIO,4 ROOM,428000.0
2017-02-01,ANG MO KIO,4 ROOM,428888.0
2017-02-01,ANG MO KIO,4 ROOM,459000.0
2017-02-01,ANG MO KIO,4 ROOM,485000.0
2017-02-01,ANG MO KIO,4 ROOM,490000.0
2017-02-01,ANG MO KIO,4 ROOM,530000.0
2017-02-01,ANG MO KIO,4 ROOM,580000.0
2017-02-01,ANG MO KIO,4 ROOM,632000.0
2017-02-01,ANG MO KIO,4 ROOM,658000.0
2017-03-01,ANG MO KIO,4 ROOM,398000.0
2017-03-01,ANG MO KIO,4 ROOM,400000.0
2017-03-01,ANG MO KIO,4 ROOM,415000.0
2017-03-01,ANG MO KIO,4 ROOM,428000.0
2017-03-01,ANG MO KIO,4 ROOM,430000.0
2017-03-01,ANG MO KIO,4 ROOM,430000.0
2017-03-01,ANG MO KIO,4 ROOM,431888.0
2017-03-01,ANG MO KIO,4 ROOM,438000.0
2017-03-01,ANG MO KIO,4 ROOM,440000.0
2017-03-01,ANG MO KIO,4 ROOM,455000.0
2017-03-01,ANG MO KIO,4 ROOM,470000.0
2017-03-01,ANG MO KIO,4 ROOM,475000.0
2017-03-01,ANG MO KIO,4 ROOM,480000.0
2017-03-01,ANG MO KIO,4 ROOM,480000.0
2017-03-01,ANG MO KIO,4 ROOM,485000.0
2017-03-01,ANG MO KIO,4 ROOM,490000.0
2017-03-01,ANG MO KIO,4 ROOM,538000.0
2017-03-01,ANG MO KIO,4 ROOM,548000.0
2017-03-01,ANG MO KIO,4 ROOM,590000.0
2017-03-01,ANG MO KIO,4 ROOM,600000.0
2017-03-01,ANG MO KIO,4 ROOM,615000.0
2017-03-01,ANG MO KIO,4 ROOM,630000.0
2017-03-01,ANG MO KIO,4 ROOM,690000.0
2017-03-01,ANG MO KIO,4 ROOM,470000.0
2017-04-01,ANG MO KIO,4 ROOM,390000.0
2017-04-01,ANG MO KIO,4 ROOM,400000.0
2017-04-01,ANG MO KIO,4 ROOM,400000.0
2017-04-01,ANG MO KIO,4 ROOM,403888.0
2017-04-01,ANG MO KIO,4 ROOM,406000.0
2017-04-01,ANG MO KIO,4 ROOM,412000.0
2017-04-01,ANG MO KIO,4 ROOM,417000.0
2017-04-01,ANG MO KIO,4 ROOM,420000.0
2017-04-01,ANG MO KIO,4 ROOM,425000.0
2017-04-01,ANG MO KIO,4 ROOM,428000.0
2017-04-01,ANG MO KIO,4 ROOM,428000.0
2017-04-01,ANG MO KIO,4 ROOM,430000.0
2017-04-01,ANG MO KIO,4 ROOM,440000.0
2017-04-01,ANG MO KIO,4 ROOM,450000.0
2017-04-01,ANG MO KIO,4 ROOM,450000.0
2017-04-01,ANG MO KIO,4 ROOM,470000.0
2017-04-01,ANG MO KIO,4 ROOM,475000.0
2017-04-01,ANG MO KIO,4 ROOM,498000.0
2017-04-01,ANG MO KIO,4 ROOM,499000.0
2017-04-01,ANG MO KIO,4 ROOM,540000.0
2017-04-01,ANG MO KIO,4 ROOM,655000.0
2017-04-01,ANG MO KIO,4 ROOM,667000.0
2017-04-01,ANG MO KIO,4 ROOM,668000.0
2017-04-01,ANG MO KIO,4 ROOM,700000.0
2017-04-01,ANG MO KIO,4 ROOM,715000.0
2017-04-01,ANG MO KIO,4 ROOM,470000.0
2017-05-01,ANG MO KIO,4 ROOM,323000.0
2017-05-01,ANG MO KIO,4 ROOM,380000.0
2017-05-01,ANG MO KIO,4 ROOM,388000.0
2017-05-01,ANG MO KIO,4 ROOM,416000.0
2017-05-01,ANG MO KIO,4 ROOM,425000.0
2017-05-01,ANG MO KIO,4 ROOM,430000.0
2017-05-01,ANG MO KIO,4 ROOM,448000.0
2017-05-01,ANG MO KIO,4 ROOM,450000.0
2017-05-01,ANG MO KIO,4 ROOM,450000.0
2017-05-01,ANG MO KIO,4 ROOM,455000.0
2017-05-01,ANG MO KIO,4 ROOM,455000.0
2017-05-01,ANG MO KIO,4 ROOM,463000.0
2017-05-01,ANG MO KIO,4 ROOM,470000.0
2017-05-01,ANG MO KIO,4 ROOM,490000.0
2017-05-01,ANG MO KIO,4 ROOM,600000.0
2017-05-01,ANG MO KIO,4 ROOM,605000.0
2017-05-01,ANG MO KIO,4 ROOM,615000.0
2017-05-01,ANG MO KIO,4 ROOM,630000.0
2017-05-01,ANG MO KIO,4 ROOM,685000.0
2017-05-01,ANG MO KIO,4 ROOM,690000.0
2017-05-01,ANG MO KIO,4 ROOM,735000.0
2017-05-01,ANG MO KIO,4 ROOM,760000.0
2017-05-01,ANG MO KIO,4 ROOM,768000.0
2017-05-01,ANG MO KIO,4 ROOM,780000.0
2017-05-01,ANG MO KIO,4 ROOM,470000.0
2017-06-01,ANG MO KIO,4 ROOM,388000.0
2017-06-01,ANG MO KIO,4 ROOM,397000.0
2017-06-01,ANG MO KIO,4 ROOM,423000.0
2017-06-01,ANG MO KIO,4 ROOM,430000.0
2017-06-01,ANG MO KIO,4 ROOM,430000.0
2017-06-01,ANG MO KIO,4 ROOM,435000.0
2017-06-01,ANG MO KIO,4 ROOM,440000.0
2017-06-01,ANG MO KIO,4 ROOM,443888.0
2017-06-01,ANG MO KIO,4 ROOM,458000.0
2017-06-01,ANG MO KIO,4 ROOM,468000.0
2017-06-01,ANG MO KIO,4 ROOM,470000.0
2017-06-01,ANG MO KIO,4 ROOM,470088.0
2017-06-01,ANG MO KIO,4 ROOM,478000.0
2017-06-01,ANG MO KIO,4 ROOM,488000.0
2017-06-01,ANG MO KIO,4 ROOM,515000.0
2017-06-01,ANG MO KIO,4 ROOM,520000.0
2017-06-01,ANG MO KIO,4 ROOM,523800.0
2017-06-01,ANG MO KIO,4 ROOM,543000.0
2017-06-01,ANG MO KIO,4 ROOM,560000.0
2017-06-01,ANG MO KIO,4 ROOM,570888.0
2017-06-01,ANG MO KIO,4 ROOM,625000.0
2017-06-01,ANG MO KIO,4 ROOM,630000.0
2017-06-01,ANG MO KIO,4 ROOM,688000.0
2017-06-01,ANG MO KIO,4 ROOM,468000.0
2017-06-01,ANG MO KIO,4 ROOM,470000.0
2017-07-01,ANG MO KIO,4 ROOM,385000.0
2017-07-01,ANG MO KIO,4 ROOM,388000.0
2017-07-01,ANG MO KIO,4 ROOM,405000.0
2017-07-01,ANG MO KIO,4 ROOM,418000.0
2017-07-01,ANG MO KIO,4 ROOM,420000.0
2017-07-01,ANG MO KIO,4 ROOM,428000.0
2017-07-01,ANG MO KIO,4 ROOM,435000.0
